GISJOIN,POP20,BASENAME,State,NAME,STATE,url
G04057380,45827,Prescott,AZ,Prescott city,Arizona,https://www.prescott-az.gov/
G17023620,45786,Elmhurst,IL,Elmhurst city,Illinois,https://www.elmhurst.org/
G48038632,45776,Keller,TX,Keller city,Texas,https://www.cityofkeller.com/
G49007690,45762,Bountiful,UT,Bountiful city,Utah,https://www.bountifulutah.gov/
G48039952,45697,Kyle,TX,Kyle city,Texas,https://www.cityofkyle.com/
G08045255,45652,Littleton,CO,Littleton city,Colorado,https://www.littletongov.org/
G19079950,45580,Urbandale,IA,Urbandale city,Iowa,https://www.urbandale.org/
G06044028,45532,Los Banos,CA,Los Banos city,California,http://www.losbanos.org/
G06049278,45483,Morgan Hill,CA,Morgan Hill city,California,http://www.morgan-hill.ca.gov/
G12015968,45425,Cutler Bay,FL,Cutler Bay town,Florida,https://www.cutlerbay-fl.gov/
G47008280,45373,Brentwood,TN,Brentwood city,Tennessee,https://www.brentwoodtn.gov/
G34065790,45345,Sayreville,NJ,Sayreville borough,New Jersey,http://www.sayreville.com/
G39016014,45312,Cleveland Heights,OH,Cleveland Heights city,Ohio,https://www.clevelandheights.com/
G04066820,45308,Sierra Vista,AZ,Sierra Vista city,Arizona,https://www.sierravistaaz.gov/
G49064340,45285,Riverton,UT,Riverton city,Utah,https://www.rivertonutah.gov/
G22000975,45275,Alexandria,LA,Alexandria city,Louisiana,https://www.cityofalexandriala.com/
G39025970,44907,Fairfield,OH,Fairfield city,Ohio,https://www.fairfield-city.org/
G51007784,44826,Blacksburg,VA,Blacksburg town,Virginia,https://www.blacksburg.gov/
G42087048,44800,York,PA,York city,Pennsylvania,https://www.yorkcity.org/
G12049425,44794,North Lauderdale,FL,North Lauderdale city,Florida,https://www.nlauderdale.org/
G17060287,44762,Plainfield,IL,Plainfield village,Illinois,https://www.plainfield-il.org/
G50010675,44743,Burlington,VT,Burlington city,Vermont,https://www.burlingtonvt.gov/
G55026275,44678,Fond du Lac,WI,Fond du Lac city,Wisconsin,https://www.fdl.wi.gov/
G18082862,44595,West Lafayette,IN,West Lafayette city,Indiana,https://www.westlafayette.in.gov/
G06055254,44575,Palm Springs,CA,Palm Springs city,California,https://www.palmspringsca.gov/
G48072530,44534,The Colony,TX,The Colony city,Texas,https://www.thecolonytx.gov/
G27043864,44505,Moorhead,MN,Moorhead city,Minnesota,http://www.ci.moorhead.mn.us/
G27039878,44488,Mankato,MN,Mankato city,Minnesota,https://www.mankatomn.gov/
G25059105,44480,Salem,MA,Salem city,Massachusetts,https://www.salem.com/
G17044407,44476,Lombard,IL,Lombard village,Illinois,https://www.villageoflombard.org/
G36027485,44472,Freeport,NY,Freeport village,New York,https://www.freeportny.gov/
G06042524,44444,Lompoc,CA,Lompoc city,California,https://www.cityoflompoc.com/
G47028540,44431,Gallatin,TN,Gallatin city,Tennessee,https://www.gallatintn.gov/
G06062546,44390,Rohnert Park,CA,Rohnert Park city,California,https://www.rpcity.org/
G29078442,44372,Wentzville,MO,Wentzville city,Missouri,https://www.wentzvillemo.gov/
G42085152,44328,Wilkes-Barre,PA,Wilkes-Barre city,Pennsylvania,https://www.wilkes-barre.city/
G06021782,44322,El Centro,CA,El Centro city,California,http://www.cityofelcentro.org/
G12050575,44229,Oakland Park,FL,Oakland Park city,Florida,https://oaklandparkfl.gov/
G26070520,44202,Saginaw,MI,Saginaw city,Michigan,https://www.saginaw-mi.com/
G12027322,43990,Greenacres,FL,Greenacres city,Florida,https://greenacresfl.gov/
G33014200,43976,Concord,NH,Concord city,New Hampshire,https://www.concordnh.gov/
G42002184,43963,Altoona,PA,Altoona city,Pennsylvania,http://www.altoonapa.gov/
G06010345,43959,Campbell,CA,Campbell city,California,https://www.ci.campbell.ca.us/
G25053960,43927,Pittsfield,MA,Pittsfield city,Massachusetts,https://www.cityofpittsfield.org/
G06065028,43908,San Bruno,CA,San Bruno city,California,https://www.sanbruno.ca.gov/
G25035075,43782,Leominster,MA,Leominster city,Massachusetts,https://www.leominster-ma.gov/
G34040350,43738,Linden,NJ,Linden city,New Jersey,https://linden-nj.gov/
G27059350,43698,Shakopee,MN,Shakopee city,Minnesota,https://www.shakopeemn.gov/
G12049475,43676,North Miami Beach,FL,North Miami Beach city,Florida,https://www.citynmb.com/
G48067496,43645,Sherman,TX,Sherman city,Texas,https://www.ci.sherman.tx.us/
G49020810,43623,Eagle Mountain,UT,Eagle Mountain city,Utah,https://eaglemountaincity.com/
G06017988,43582,Danville,CA,Danville town,California,https://www.danville.ca.gov/
G24036075,43527,Hagerstown,MD,Hagerstown city,Maryland,https://www.hagerstownmd.org/
G53007695,43505,Bremerton,WA,Bremerton city,Washington,http://www.bremertonwa.gov/
G37031060,43490,Hickory,NC,Hickory city,North Carolina,https://www.hickorync.gov/
G45070405,43463,Sumter,SC,Sumter city,South Carolina,https://www.sumtersc.gov/
G39036610,43439,Huber Heights,OH,Huber Heights city,Ohio,https://www.hhoh.org/
G06053070,43357,Oakley,CA,Oakley city,California,https://www.ci.oakley.ca.us/
G44080780,43240,Woonsocket,RI,Woonsocket city,Rhode Island,https://www.woonsocketri.org/
G29037000,43228,Jefferson City,MO,Jefferson City city,Missouri,https://www.jeffersoncitymo.gov/
