"GISJOIN","POP20","BASENAME","State","smart","INTPTLAT","INTPTLON","green_commute","bachelor","poverty","income","no_insurance","internet","unemp","gini"
"G08055155",889,"Oak Creek","CO",0,40.2740492,-106.9573639,16.1643835616438,36.4140480591497,4.89296636085627,46652,17.3274596182085,83.7920489296636,3.20987654320988,0.3829
"G08055540",2019,"Olathe","CO",0,38.6083842,-107.9833002,20.3100775193798,7.68608414239482,21.0216110019646,24274,27.8904109589041,69.5481335952849,4.60199004975124,0.3914
"G08055705",315,"Olney Springs","CO",0,38.1662739,-103.9444914,26.3157894736842,5.4054054054054,30.8943089430894,20093,10.482180293501,78.8617886178862,5.26315789473684,0.5241
"G08055870",197,"Ophir","CO",0,37.8568103,-107.8312422,8.65384615384615,74.2647058823529,6.06060606060606,53064,0,96.969696969697,5.97014925373134,0.2574
"G08055980",3142,"Orchard City","CO",0,38.818125,-107.9672696,9.30064888248017,21.569416498994,11.6704805491991,33754,7.65488160882258,83.676582761251,4.77402928071292,0.3719
"G08056145",1066,"Ordway","CO",0,38.2208994,-103.7566804,17.4757281553398,15.6500802568218,21.0810810810811,17409,5.0081654872074,84.8648648648649,16.2661737523105,0.3789
"G08056365",511,"Otis","CO",0,40.1501257,-102.9621381,26.1306532663317,20.3296703296703,20.2643171806167,23670,2.87769784172662,87.6651982378855,8.5972850678733,0.4159
"G08056420",898,"Ouray","CO",0,38.0275433,-107.6733483,42.7631578947368,54.4242424242424,9.09090909090909,40699,25.4220456802383,85.7142857142857,4.54545454545455,0.4222
"G08056475",271,"Ovid","CO",0,40.9607551,-102.3883361,12.4031007751938,18.8340807174888,28.3582089552239,22544,17.1717171717172,74.6268656716418,5.71428571428571,0.4129
"G08056860",1571,"Pagosa Springs","CO",0,37.2634215,-107.003565,35.8711566617862,21.7131474103586,26.5886287625418,19757,12.7950310559006,74.7491638795987,3.7359900373599,0.4683
"G08056970",2565,"Palisade","CO",0,39.1079309,-108.3573295,18.6142709410548,26.3714141922496,10.6746370623399,37113,12.5450901803607,91.801878736123,4.60030165912519,0.4611
"G08057025",2636,"Palmer Lake","CO",0,39.1158012,-104.9092059,3.28849028400598,38.9199255121043,5.51038843721771,48290,1.48007590132827,97.8319783197832,6.98957694665849,0.3403
"G08057245",51,"Paoli","CO",0,40.6127642,-102.4717581,0,8.57142857142857,41.9354838709677,21275,11.1111111111111,41.9354838709677,3.57142857142857,0.354
"G08057300",1447,"Paonia","CO",0,38.8698076,-107.5919718,22.0757825370675,38.0835380835381,19.3548387096774,36898,18.086500655308,88.9784946236559,6.15183246073298,0.432
"G08057400",1390,"Parachute","CO",0,39.4533788,-108.0509992,26.5017667844523,7.58533501896334,14.5038167938931,21344,9.64630225080386,84.7328244274809,19.3357058125741,0.3522
"G08057630",58512,"Parker","CO",0,39.4826572,-104.7995798,12.3137409081974,53.4736842105263,4.0784693630419,52590,4.29980680788497,97.2341971421652,3.21158142098697,0.3735
"G08058235",213,"Peetz","CO",0,40.9618226,-103.1138091,24,19.3181818181818,14.5631067961165,31387,9.09090909090909,92.2330097087379,17.4193548387097,0.4322
"G08059005",1097,"Pierce","CO",0,40.6475838,-104.7800508,26.5217391304348,19.0995907230559,1.5,34578,19.3516699410609,89,10.9489051094891,0.3241
"G08059830",72,"Pitkin","CO",0,38.6087216,-106.5149184,0,57.8947368421053,0,26266,15.5737704918033,94.5945945945946,0,0.2298
"G08060160",2955,"Platteville","CO",0,40.222845,-104.8335405,21.1852861035422,15.5034895314058,5.5327868852459,35070,14.2612272883099,89.7540983606557,8.74775314559617,0.3693
"G08060600",925,"Poncha Springs","CO",0,38.5211093,-106.0725763,21.3250517598344,32.409972299169,13.8075313807531,45730,2.53748558246828,98.326359832636,0,0.351
